i,P[|B_i| >= 1]
461,0.072730000000000002979838598093920154497027397155761718750000
462,0.072010000000000004560796185160143068060278892517089843750000
463,0.071459999999999995745625369636400137096643447875976562500000
464,0.070589999999999999968913755310495616868138313293457031250000
465,0.070000000000000006661338147750939242541790008544921875000000
466,0.069409999999999999475974732376926112920045852661132812500000
467,0.068729999999999999427124919293419225141406059265136718750000
468,0.068080000000000001625366508051229175180196762084960937500000
469,0.067280000000000006465938895416911691427230834960937500000000
470,0.066619999999999998663291478351311525329947471618652343750000
471,0.065939999999999998614441665267804637551307678222656250000000
472,0.065360000000000001429967255717201624065637588500976562500000
473,0.064699999999999993627319838651601457968354225158691406250000
474,0.064119999999999996442845429100998444482684135437011718750000
475,0.063469999999999998641087017858808394521474838256835937500000
476,0.062829999999999996962429804625571705400943756103515625000000
477,0.062320000000000000395239396766555728390812873840332031250000
478,0.061839999999999999136246486841628211550414562225341796875000
479,0.061359999999999997877253576916700694710016250610351562500000
480,0.060789999999999996815880365375051042065024375915527343750000
481,0.060130000000000002891020756123907631263136863708496093750000
482,0.059569999999999997952748742591211339458823204040527343750000
483,0.059029999999999999138466932890878524631261825561523437500000
484,0.058520000000000002571276525031862547621130943298339843750000
485,0.057979999999999996818100811424301355145871639251708984375000
486,0.057439999999999998003819001723968540318310260772705078125000
487,0.056930000000000001436628593864952563308179378509521484375000
488,0.056460000000000003239630785856206784956157207489013671875000
489,0.055939999999999996671551372173780691809952259063720703125000
490,0.055489999999999997659649864090170012786984443664550781250000
491,0.054960000000000001907363156306018936447799205780029296875000
492,0.054460000000000001463273946455956320278346538543701171875000
493,0.053900000000000003463895836830488406121730804443359375000000
494,0.053319999999999999340527523372657014988362789154052734375000
495,0.052920000000000001760813717055498273111879825592041015625000
496,0.052479999999999998872013406980840954929590225219726562500000
497,0.052010000000000000675015598972095176577568054199218750000000
498,0.051499999999999997168931287205850821919739246368408203125000
499,0.051020000000000002848832281188151682727038860321044921875000
500,0.050639999999999997515320870888899662531912326812744140625000
501,0.050139999999999997071231661038837046362459659576416015625000
502,0.049579999999999999071853551413369132205843925476074218750000
503,0.049169999999999998430144643180028651840984821319580078125000
504,0.048629999999999999615862833479695837013423442840576171875000
505,0.048210000000000002851052727237401995807886123657226562500000
506,0.047699999999999999344968415471157641150057315826416015625000
507,0.047219999999999998085975505546230124309659004211425781250000
508,0.046829999999999996629362897238024743273854255676269531250000
509,0.046330000000000003124167591295190504752099514007568359375000
510,0.046010000000000002284838984678572160191833972930908203125000
511,0.045620000000000000828226376370366779156029224395751953125000
512,0.045139999999999999569233466445439262315630912780761718750000
513,0.044699999999999996680433156370781944133341312408447265625000
514,0.044190000000000000113242748511765967123210430145263671875000
515,0.043869999999999999273914141895147622562944889068603515625000
516,0.043490000000000000879296635503123980015516281127929687500000
517,0.043060000000000001052491427344648400321602821350097656250000
518,0.042720000000000001028066520802894956432282924652099609375000
519,0.042410000000000003250733016102458350360393524169921875000000
520,0.041989999999999999547029005952936131507158279418945312500000
521,0.041549999999999996658228695878278813324868679046630859375000
522,0.041119999999999996831423487719803233630955219268798828125000
523,0.040669999999999997819521979636192554607987403869628906250000
524,0.040289999999999999424904473244168912060558795928955078125000
525,0.040020000000000000017763568394002504646778106689453125000000
526,0.039669999999999996931343559936067322269082069396972656250000
527,0.039089999999999999746869150385464308783411979675292968750000
528,0.038679999999999999105160242152123828418552875518798828125000
529,0.038330000000000002957634137601417023688554763793945312500000
530,0.037920000000000002315925229368076543323695659637451171875000
531,0.037449999999999997180033517452102387323975563049316406250000
532,0.037010000000000001230127111284673446789383888244628906250000
533,0.036569999999999998341326801210016128607094287872314453125000
534,0.036139999999999998514521593051540548913180828094482421875000
535,0.035860000000000002984279490192420780658721923828125000000000
536,0.035479999999999997650768079893168760463595390319824218750000
537,0.035169999999999999873434575192732154391705989837646484375000
538,0.034840000000000002911004770567160448990762233734130859375000
539,0.034520000000000002071676163950542104430496692657470703125000
540,0.034239999999999999602540157184193958528339862823486328125000
541,0.033880000000000000393018950717305415309965610504150390625000
542,0.033579999999999998738786644025822170078754425048828125000000
543,0.033230000000000002591260539475115365348756313323974609375000
544,0.032969999999999999307220832633902318775653839111328125000000
545,0.032680000000000000714983627858600812032818794250488281250000
546,0.032379999999999999060751321167117566801607608795166015625000
547,0.032070000000000001283417816466680960729718208312988281250000
548,0.031780000000000002691180611691379453986883163452148437500000
549,0.031500000000000000222044604925031308084726333618164062500000
550,0.031150000000000000605071548420710314530879259109497070312500
551,0.030810000000000000580646641878956870641559362411499023437500
552,0.030499999999999999333866185224906075745820999145507812500000
553,0.030110000000000001346700528870314883533865213394165039062500
554,0.029819999999999999285016372141399187967181205749511718750000
555,0.029399999999999999050759313945491157937794923782348632812500
556,0.029129999999999999643618409095324750524014234542846679687500
557,0.028840000000000001051381204320023243781179189682006835937500
