n,i,|K|,|R|,|A|,|B|,|C|,|K|/n,|R|/n,|A|/n^2,|B|/n,|C|/n
150,2,94.951400,19.301700,5203.660300,55.048600,43.782300,0.633009,0.128678,0.231274,0.366991,0.291882
151,2,95.608300,19.469300,5271.890200,55.391700,44.116100,0.633168,0.128936,0.231213,0.366832,0.292160
152,2,96.236400,19.652400,5344.663000,55.763600,44.387800,0.633134,0.129292,0.231331,0.366866,0.292025
153,2,96.962700,19.762300,5402.594600,56.037300,44.597000,0.633743,0.129165,0.230791,0.366257,0.291484
154,2,97.521600,19.841900,5482.643100,56.478400,44.957300,0.633257,0.128844,0.231179,0.366743,0.291931
155,2,98.185400,19.933500,5552.520000,56.814600,45.167600,0.633454,0.128603,0.231114,0.366546,0.291404
156,2,98.768400,20.140400,5631.542000,57.231600,45.604400,0.633131,0.129105,0.231408,0.366869,0.292336
157,2,99.379000,20.278000,5704.587500,57.621000,45.917300,0.632987,0.129159,0.231433,0.367013,0.292467
158,2,100.080900,20.389300,5769.739100,57.919100,46.113200,0.633423,0.129046,0.231122,0.366577,0.291856
159,2,100.628900,20.453400,5851.264600,58.371100,46.432300,0.632886,0.128638,0.231449,0.367114,0.292027
160,2,101.310500,20.704500,5919.961800,58.689500,46.773000,0.633191,0.129403,0.231249,0.366809,0.292331
161,2,101.960700,20.783800,5997.632800,59.039300,46.990200,0.633296,0.129092,0.231381,0.366704,0.291865
162,2,102.590100,20.961600,6068.190100,59.409900,47.285400,0.633272,0.129393,0.231222,0.366728,0.291885
163,2,103.243800,21.030000,6140.903400,59.756200,47.585200,0.633398,0.129018,0.231130,0.366602,0.291934
164,2,103.820700,21.117600,6224.087100,60.179300,47.883000,0.633053,0.128766,0.231413,0.366947,0.291970
165,2,104.520000,21.270000,6293.916000,60.480000,48.151300,0.633455,0.128909,0.231181,0.366545,0.291826
166,2,105.053300,21.405600,6382.106600,60.946700,48.536200,0.632851,0.128949,0.231605,0.367149,0.292387
167,2,105.725100,21.543100,6455.908300,61.274900,48.784700,0.633084,0.129001,0.231486,0.366916,0.292124
168,2,106.430400,21.700000,6519.347800,61.569600,49.039500,0.633514,0.129167,0.230986,0.366486,0.291902
169,2,107.036700,21.793500,6602.273500,61.963300,49.346200,0.633353,0.128956,0.231164,0.366647,0.291989
170,2,107.652600,21.921300,6684.626000,62.347400,49.624400,0.633251,0.128949,0.231302,0.366749,0.291908
